ID,Name,Latitude,Longitude,Phone,Email,Address,Web
98118,Commodore Madrid,40.445800000000,-3.685700000000,(+34) 652 62 09 66,reservas@commodoremadrid.com,"de la República Argentina, 5",http://www.esmadrid.com/restaurantes/commodore-madrid
97976,La m&aacute;s croqueta,40.413945900000,-3.707367400000,(+34) 913 640 617,,"de Toledo, 23",http://www.esmadrid.com/restaurantes/croqueta
97794,El Taller,40.419300900000,-3.734736800000,,reservas@eltallerdellago.com,"de María Teresa, 5",http://www.esmadrid.com/restaurantes/taller
97777,Miss Sushi,40.414535400000,-3.700012800000,(+34) 910 100 811  ,santa.ana@misssushi.es,"del Prado, 2",http://www.esmadrid.com/restaurantes/miss-sushi
97502,La Terraza del Santo Domingo,40.420648900000,-3.708539300000,(+34) 91 559 49 31,,"de San Bernardo, 1",http://www.esmadrid.com/restaurantes/terraza-santo-domingo
97389,MO de Movimiento,40.440398100000,-3.694963200000,(+34) 667 97 45 99 |,mo@modemovimiento.com,"de Espronceda, 34",http://www.esmadrid.com/restaurantes/mo-movimiento
97387,Coquetto Bar,40.428249400000,-3.690976700000,(+34) 916 256 292 ,,"de Fortuny, 2",http://www.esmadrid.com/restaurantes/coquetto-bar
97310,Shukran City Ventas,40.430247000000,-3.663876100000,(+34) 633 610 511,,"de Alcalá, 200",http://www.esmadrid.com/restaurantes/shukran-city-ventas
97285,Santa y Pura,40.410225900000,-3.697212000000,(+34) 91 166 78 24,info@santaypura.es,"de  Santa Isabel, 27",http://www.esmadrid.com/restaurantes/santa-pura
97265,Mune Madrid,40.424798200000,-3.697005500000,(+34) 91 395 20 56,hola@munemadrid.com,"de Pelayo, 57",http://www.esmadrid.com/restaurantes/mune-madrid
97183,Le&ntilde;a,40.438859418606,-3.691513538361,(+34) 911 085 566,,"de la Castellana, 57",http://www.esmadrid.com/restaurantes/restaurante-leña
97178,Smoked Room,40.438867700000,-3.691686600000,(+34) 911 086 277,,"de la Castellana, 57",http://www.esmadrid.com/restaurantes/smoked-room
97061,Barbecho ,40.443951200000,-3.700422700000,(+34) 91 598 63 52,info@barbechobar.com,"de Alenza, 12",http://www.esmadrid.com/restaurantes/barbecho
97059,Diurno,40.421252300000,-3.697190700000,(+34) 91 522 00 09,info@diurno.com,"de San Marcos, 37",http://www.esmadrid.com/restaurantes/diurno
